"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Astros","10.44","2.69","3.88","0.94","28.5 %","7.4 %","21.2 %",".215","1.10",".283","77.9 %","76","78","79","3.11","3.23","-0.12","3.36","3.27"
"Dodgers","9.54","2.57","3.71","1.09","25.7 %","6.9 %","18.8 %",".228","1.15",".284","76.2 %","88","90","86","3.40","3.60","-0.20","3.52","3.47"
"Yankees","10.10","3.05","3.31","1.09","26.6 %","8.0 %","18.6 %",".235","1.24",".300","73.9 %","87","82","85","3.78","3.63","0.14","3.61","3.53"
"Indians","9.54","2.51","3.79","1.24","25.4 %","6.7 %","18.7 %",".241","1.20",".298","76.0 %","85","89","86","3.77","3.79","-0.01","3.66","3.54"
"Rays","8.83","3.11","2.84","1.02","23.7 %","8.4 %","15.4 %",".227","1.20",".278","73.3 %","90","93","94","3.75","3.82","-0.07","3.98","3.82"
"Red Sox","9.61","3.16","3.04","1.09","25.3 %","8.3 %","17.0 %",".234","1.25",".294","75.8 %","84","91","93","3.75","3.82","-0.07","3.92","3.72"
"Phillies","9.12","3.11","2.93","1.06","23.9 %","8.2 %","15.7 %",".245","1.29",".303","71.0 %","104","92","95","4.15","3.83","0.31","3.87","3.82"
"Diamondbacks","8.91","3.21","2.77","1.07","23.6 %","8.5 %","15.1 %",".236","1.25",".289","75.7 %","91","96","94","3.73","3.91","-0.19","3.81","3.85"
"Mets","8.91","2.98","2.99","1.14","23.4 %","7.8 %","15.6 %",".243","1.27",".295","73.0 %","108","99","99","4.07","3.97","0.11","4.03","3.89"
"Cardinals","8.27","3.67","2.25","0.89","21.3 %","9.5 %","11.9 %",".241","1.34",".293","73.0 %","98","99","104","3.85","3.97","-0.12","4.24","4.26"
"Giants","7.82","3.23","2.42","0.96","20.5 %","8.5 %","12.0 %",".247","1.31",".293","72.3 %","101","104","103","3.95","3.98","-0.03","4.20","4.23"
"Braves","8.79","3.92","2.24","0.95","23.1 %","10.3 %","12.8 %",".226","1.28",".278","74.1 %","92","99","102","3.75","3.99","-0.24","4.17","4.20"
"Brewers","8.80","3.41","2.58","1.07","23.4 %","9.0 %","14.3 %",".229","1.24",".279","74.4 %","91","97","99","3.73","4.01","-0.27","4.04","4.00"
"Mariners","8.25","2.49","3.32","1.21","21.9 %","6.6 %","15.3 %",".249","1.24",".295","72.5 %","102","97","96","4.13","4.05","0.07","4.06","3.90"
"Pirates","8.38","3.12","2.69","1.09","21.7 %","8.1 %","13.7 %",".247","1.31",".296","73.6 %","102","101","102","4.00","4.06","-0.06","4.14","4.07"
"Rockies","8.73","3.25","2.68","1.14","22.9 %","8.5 %","14.4 %",".247","1.31",".299","71.3 %","93","94","97","4.33","4.06","0.27","3.96","3.98"
"Padres","8.64","3.21","2.70","1.14","22.4 %","8.3 %","14.1 %",".252","1.34",".305","71.1 %","113","102","98","4.41","4.10","0.31","3.99","3.98"
"Cubs","8.13","3.79","2.14","0.96","21.3 %","9.9 %","11.4 %",".237","1.31",".284","76.2 %","91","102","105","3.65","4.14","-0.49","4.29","4.32"
"Nationals","8.82","3.03","2.91","1.23","23.3 %","8.0 %","15.3 %",".239","1.25",".287","74.8 %","99","102","102","4.04","4.15","-0.11","4.13","3.94"
"Athletics","7.60","2.91","2.61","1.13","20.3 %","7.8 %","12.5 %",".234","1.21",".270","73.5 %","92","101","100","3.82","4.18","-0.36","4.25","4.19"
"Angels","8.68","3.42","2.54","1.28","22.7 %","8.9 %","13.8 %",".246","1.32",".294","74.1 %","101","104","99","4.15","4.36","-0.21","4.18","4.07"
"Twins","8.59","3.57","2.40","1.23","21.9 %","9.1 %","12.8 %",".253","1.38",".302","72.4 %","103","102","102","4.50","4.39","0.11","4.33","4.19"
"Blue Jays","8.15","3.46","2.36","1.31","20.7 %","8.8 %","11.9 %",".261","1.41",".306","70.0 %","114","107","107","4.85","4.53","0.32","4.54","4.31"
"Marlins","7.80","3.78","2.06","1.20","20.0 %","9.7 %","10.3 %",".250","1.38",".290","69.9 %","125","115","115","4.76","4.57","0.20","4.65","4.51"
"Tigers","7.67","3.10","2.47","1.36","19.8 %","8.0 %","11.8 %",".255","1.34",".291","70.5 %","107","107","107","4.60","4.59","0.01","4.55","4.35"
"Royals","7.27","3.45","2.11","1.29","18.4 %","8.7 %","9.7 %",".271","1.46",".309","70.6 %","114","112","109","4.95","4.66","0.28","4.63","4.56"
"Reds","7.86","3.32","2.36","1.42","20.0 %","8.5 %","11.6 %",".262","1.40",".300","71.5 %","113","112","105","4.65","4.68","-0.03","4.28","4.28"
"White Sox","7.89","4.09","1.93","1.23","19.9 %","10.3 %","9.6 %",".251","1.43",".292","69.4 %","115","111","115","4.85","4.73","0.12","4.88","4.63"
"Rangers","7.05","3.09","2.28","1.40","18.0 %","7.9 %","10.1 %",".267","1.40",".299","69.6 %","107","109","108","4.92","4.79","0.13","4.59","4.48"
"Orioles","7.57","3.70","2.04","1.47","19.0 %","9.3 %","9.7 %",".273","1.50",".310","70.0 %","121","114","112","5.19","4.98","0.21","4.73","4.57"
